"gene_id","class","toxin_family","Cgodm-CLP2359","Cgodm-CLP2360","Cgodm-CLP2362","Cgodm-CLP2377","Cgodm-CLP2378","Cgodm-CLP2388","Average"
"Cgodm-CLP2359_28SribS25_trinityContig28182_-_CDS","Nontoxin","NT",4.97,13.58,19.23,20.84,10.09,18.58,14.5483
"Cgodm-CLP2359_39SrpL24_trinityContig29963_-_CDS","Nontoxin","NT",55.6,28.09,43.83,91.59,46.24,66.4,55.2917
"Cgodm-CLP2359_3bHDDIsom_ngenContig768_-_CDS","Nontoxin","NT",26.28,45.14,78.74,126.02,55.57,99.85,71.9333
"Cgodm-CLP2359_ADH_trinityContig21456_-_CDS","Nontoxin","NT",15.53,25.84,19.42,52.84,27.36,60.8,33.6317
"Cgodm-CLP2359_AKT_trinityContig12641_-_CDS","Nontoxin","NT",14.71,32.04,35.32,35.58,27.73,49.47,32.475
"Cgodm-CLP2359_ATPSyn-e_trinityContig21039_-_CDS","Nontoxin","NT",122.5,257.07,260.8,957.67,170.18,394.67,360.4817
"Cgodm-CLP2359_ATPSyn-eps_trinityContig37667_-_CDS","Nontoxin","NT",62.52,89.9,156.57,247.98,117.88,90.49,127.5567
"Cgodm-CLP2359_ATPSyn-f_trinityContig12028_-_CDS","Nontoxin","NT",108.55,143.72,179.49,382.82,151.22,294.79,210.0983
"Cgodm-CLP2359_Anaphase11_trinityContig5320_-_CDS","Nontoxin","NT",18.89,12.98,19.02,47.44,19.66,30.08,24.6783
"Cgodm-CLP2359_BladderCancer_trinityContig38878_-_CDS","Nontoxin","NT",4.57,3.86,12.27,30.74,20.27,18.58,15.0483
"Cgodm-CLP2359_C18orf32_trinityContig17838_-_CDS","Nontoxin","NT",9.11,38.45,37.28,29.38,28.15,59.75,33.6867
"Cgodm-CLP2359_C1orf43-2_trinityContig22831_-_CDS","Nontoxin","NT",7.76,8.81,8.64,22.43,20.54,19.85,14.6717
"Cgodm-CLP2359_C2orf64_trinityContig31030_-_CDS","Nontoxin","NT",35.66,68.13,37.16,182.36,33.91,56.66,68.98
"Cgodm-CLP2359_C7orf59_trinityContig25201_-_CDS","Nontoxin","NT",26.96,12.21,19.1,72.76,33.88,51.39,36.05
"Cgodm-CLP2359_CCDC126_trinityContig26970_-_CDS","Nontoxin","NT",7.43,10.43,9.6,16.02,11.67,9.28,10.7383
"Cgodm-CLP2359_CD59_trinityContig30170_-_CDS","Nontoxin","NT",15.57,30.94,19,47.06,18.61,72.24,33.9033
"Cgodm-CLP2359_CaRegHSP1_trinityContig12292_-_CDS","Nontoxin","NT",3.11,1.73,1.34,6.26,11.14,4.45,4.6717
"Cgodm-CLP2359_CaUptake-1_trinityContig29315_-_CDS","Nontoxin","NT",5.84,8.07,9.97,16.39,8.81,13.6,10.4467
"Cgodm-CLP2359_Ccd115_trinityContig22347_-_CDS","Nontoxin","NT",6.28,6.7,8.52,26.16,7.97,10.25,10.98
"Cgodm-CLP2359_Ccd13_trinityContig18076_-_CDS","Nontoxin","NT",6.37,5.92,10.49,4.2,16.68,17.93,10.265
"Cgodm-CLP2359_CellDeath10_trinityContig39653_-_CDS","Nontoxin","NT",7.48,22.82,19.34,43.45,19.98,22.45,22.5867
"Cgodm-CLP2359_CitrateSyn_trinityContig30108_-_CDS","Nontoxin","NT",17.12,20.43,32.27,34.63,36.11,67.41,34.6617
"Cgodm-CLP2359_Claudin4-1_trinityContig30844_-_CDS","Nontoxin","NT",74.09,87.84,85.76,102.86,103.01,155.72,101.5467
"Cgodm-CLP2359_ConsPlaMem_trinityContig22625_-_CDS","Nontoxin","NT",9.08,5.43,13.16,10.21,6.32,18.48,10.4467
"Cgodm-CLP2359_Cystatin_trinityContig2098_-_CDS","Nontoxin","NT",12.4,29.72,31.23,155.23,13.25,91.53,55.56
"Cgodm-CLP2359_CytB-c1-9_trinityContig21203_-_CDS","Nontoxin","NT",215.09,328.82,469.96,334.55,294.06,504.06,357.7567
"Cgodm-CLP2359_CytCO6A1_trinityContig33399_-_CDS","Nontoxin","NT",56.61,112.54,103.7,347.25,85.26,290.09,165.9083
"Cgodm-CLP2359_CytCO7A2_trinityContig37436_-_CDS","Nontoxin","NT",14.85,21.11,35.77,41.47,27.85,52.64,32.2817
"Cgodm-CLP2359_CytCO7C_trinityContig8923_-_CDS","Nontoxin","NT",162.43,352.28,335.41,1204.03,280.97,370.19,450.885
"Cgodm-CLP2359_CytCOVIIb_trinityContig36695_-_CDS","Nontoxin","NT",119.28,213.89,170.75,406.63,136.16,311.9,226.435
"Cgodm-CLP2359_Derlin2_ngenContig554_-_CDS","Nontoxin","NT",23.97,93.93,85.69,110.22,76.98,97.73,81.42
"Cgodm-CLP2359_Dimethylaminohydrolase1_trinityContig38027_-_CDS","Nontoxin","NT",29.21,21.83,17.62,25.16,19.72,36.02,24.9267
"Cgodm-CLP2359_EF-B2_trinityContig31567_-_CDS","Nontoxin","NT",32.07,80.57,71.38,135.9,63.6,200.56,97.3467
"Cgodm-CLP2359_EF1_trinityContig1340_-_CDS","Nontoxin","NT",15.64,40.52,25.24,92.51,23.59,72.31,44.9683
"Cgodm-CLP2359_ER44_trinityContig28153_-_CDS","Nontoxin","NT",13.68,37.36,34.92,49.89,42.52,47.61,37.6633
"Cgodm-CLP2359_ETS_trinityContig20171_-_CDS","Nontoxin","NT",37.67,32.8,19.77,95.64,41.75,101.26,54.815
