"gene_id","class","toxin_family","Cpetl-CLP2324","Cpetl-CLP2326","Cpetl-CLP2327","Average"
"Cpetl-CLP2324_28SribS25_trinityContig40653_-_CDS","Nontoxin","NT",6.5,16.66,14.63,12.5967
"Cpetl-CLP2324_28SribS36_trinityContig46748_-_CDS","Nontoxin","NT",13.39,16.11,23.06,17.52
"Cpetl-CLP2324_39SL21_trinityContig10957_-_CDS","Nontoxin","NT",34.77,73.73,51.98,53.4933
"Cpetl-CLP2324_39SrpL24_trinityContig9470_-_CDS","Nontoxin","NT",33.89,76.14,47.19,52.4067
"Cpetl-CLP2324_3bHDDIsom_trinityContig39364_-_CDS","Nontoxin","NT",17.48,20.79,35.36,24.5433
"Cpetl-CLP2324_ADH_trinityContig29684_-_CDS","Nontoxin","NT",31.01,48.51,38.01,39.1767
"Cpetl-CLP2324_ADPRibosyl1-4_trinityContig21092_-_CDS","Nontoxin","NT",32.25,50.1,26.14,36.1633
"Cpetl-CLP2324_AKT_trinityContig14176_-_CDS","Nontoxin","NT",33.74,39.47,33.48,35.5633
"Cpetl-CLP2324_ATPSyn-e_trinityContig10266_-_CDS","Nontoxin","NT",367.16,548.77,341.57,419.1667
"Cpetl-CLP2324_ATPSyn-eps_trinityContig738_-_CDS","Nontoxin","NT",233.17,209.74,147.64,196.85
"Cpetl-CLP2324_AcidPhos2_trinityContig32665_-_CDS","Nontoxin","NT",5.97,5.77,4.97,5.57
"Cpetl-CLP2324_AcylCoADeh_trinityContig20886_-_CDS","Nontoxin","NT",22.04,15.69,17.31,18.3467
"Cpetl-CLP2324_AdenylateKin2_trinityContig11808_-_CDS","Nontoxin","NT",30.4,27.78,31.55,29.91
"Cpetl-CLP2324_AminopeptidaseA_trinityContig47074_-_CDS","Nontoxin","NT",203.02,119.98,254.62,192.54
"Cpetl-CLP2324_Anaphase11_trinityContig37139_-_CDS","Nontoxin","NT",24.44,36.23,56.38,39.0167
"Cpetl-CLP2324_Arginyl-tRNASyn_trinityContig19819_-_CDS","Nontoxin","NT",12.68,17.37,10.52,13.5233
"Cpetl-CLP2324_AspSyn_trinityContig14201_-_CDS","Nontoxin","NT",60.69,21.12,108.37,63.3933
"Cpetl-CLP2324_Autophagy5_trinityContig11719_-_CDS","Nontoxin","NT",11.02,6.78,14.42,10.74
"Cpetl-CLP2324_BCellRec29_trinityContig15808_-_CDS","Nontoxin","NT",15.55,15.87,18.41,16.61
"Cpetl-CLP2324_BRISC-Abro1_trinityContig34931_-_CDS","Nontoxin","NT",6.14,3.78,5.73,5.2167
"Cpetl-CLP2324_Band5_trinityContig41928_-_CDS","Nontoxin","NT",5.54,6.62,7.59,6.5833
"Cpetl-CLP2324_BladderCancer_trinityContig25370_-_CDS","Nontoxin","NT",9.08,14.21,24.21,15.8333
"Cpetl-CLP2324_BrainI3_trinityContig30552_-_CDS","Nontoxin","NT",9.59,12.21,10.78,10.86
"Cpetl-CLP2324_C11orf67_trinityContig6576_-_CDS","Nontoxin","NT",31.02,35.13,44.39,36.8467
"Cpetl-CLP2324_C18orf32_trinityContig28584_-_CDS","Nontoxin","NT",41.9,26.69,23.37,30.6533
"Cpetl-CLP2324_C1orf31_trinityContig14736_-_CDS","Nontoxin","NT",27.73,32.64,11.11,23.8267
"Cpetl-CLP2324_C2orf64_trinityContig42370_-_CDS","Nontoxin","NT",107.37,127.95,90.79,108.7033
"Cpetl-CLP2324_C5orf43_trinityContig24716_-_CDS","Nontoxin","NT",24.54,24.56,10.09,19.73
"Cpetl-CLP2324_C7orf55_trinityContig47537_-_CDS","Nontoxin","NT",101.07,206.53,141.84,149.8133
"Cpetl-CLP2324_CCDC126_trinityContig23745_-_CDS","Nontoxin","NT",14.3,2.95,13.98,10.41
"Cpetl-CLP2324_CCHCCHD7_trinityContig14375_-_CDS","Nontoxin","NT",46.84,22.75,24.81,31.4667
"Cpetl-CLP2324_CD2AntCytTail2_trinityContig15154_-_CDS","Nontoxin","NT",12.87,10.29,13.18,12.1133
"Cpetl-CLP2324_CD59_trinityContig47093_-_CDS","Nontoxin","NT",26.37,27.12,47.87,33.7867
"Cpetl-CLP2324_COX2_trinityContig47318_-_CDS","Nontoxin","NT",44.44,43.42,33.62,40.4933
"Cpetl-CLP2324_CaUptake-1_trinityContig40766_-_CDS","Nontoxin","NT",9.33,6.46,9.91,8.5667
"Cpetl-CLP2324_Canopy2_trinityContig685_-_CDS","Nontoxin","NT",58.71,46.48,63.89,56.36
"Cpetl-CLP2324_Chromobox3-1_trinityContig46729_-_CDS","Nontoxin","NT",19.95,12.03,16.86,16.28
"Cpetl-CLP2324_CitrateSyn_trinityContig30088_-_CDS","Nontoxin","NT",20.67,22.27,33.79,25.5767
"Cpetl-CLP2324_Claudin4-1_trinityContig21358_-_CDS","Nontoxin","NT",89.42,40.11,95.25,74.9267
"Cpetl-CLP2324_Clusterin_trinityContig19711_-_CDS","Nontoxin","NT",11.13,24.3,17.38,17.6033
"Cpetl-CLP2324_ConsPlaMem_trinityContig37369_-_CDS","Nontoxin","NT",16.19,18.95,12.37,15.8367
"Cpetl-CLP2324_Cornichon_trinityContig2577_-_CDS","Nontoxin","NT",11.39,18.86,21.76,17.3367
"Cpetl-CLP2324_CycCO6B1_trinityContig34589_-_CDS","Nontoxin","NT",101.81,158.61,163.13,141.1833
"Cpetl-CLP2324_Cystatin-2_trinityContig39195_-_CDS","Nontoxin","NT",52.64,41.33,22.86,38.9433
"Cpetl-CLP2324_CytB-c1-9_trinityContig49577_-_CDS","Nontoxin","NT",174.5,466.26,249.07,296.61
"Cpetl-CLP2324_CytCO5B_trinityContig31903_-_CDS","Nontoxin","NT",179.59,257.21,175.06,203.9533
"Cpetl-CLP2324_CytCO6A1_trinityContig4766_-_CDS","Nontoxin","NT",239.81,216.57,161.35,205.91
"Cpetl-CLP2324_CytCO7C_trinityContig49190_-_CDS","Nontoxin","NT",462.04,986.42,488.47,645.6433
"Cpetl-CLP2324_CytCOVIIb_trinityContig24427_-_CDS","Nontoxin","NT",206.72,355.86,172.22,244.9333
"Cpetl-CLP2324_DNABindingDeath2_trinityContig39277_-_CDS","Nontoxin","NT",27.47,21.04,25.2,24.57
"Cpetl-CLP2324_Dimethylaminohydrolase1_trinityContig2194_-_CDS","Nontoxin","NT",30.8,25.29,22.46,26.1833
"Cpetl-CLP2324_Dioxygenase_trinityContig21519_-_CDS","Nontoxin","NT",10.91,11.01,6.57,9.4967
"Cpetl-CLP2324_EF-B2_trinityContig46902_-_CDS","Nontoxin","NT",56.3,113.96,79.62,83.2933
"Cpetl-CLP2324_EF1_trinityContig36981_-_CDS","Nontoxin","NT",36.04,44.82,42.22,41.0267
"Cpetl-CLP2324_ER44_trinityContig18220_-_CDS","Nontoxin","NT",55.62,27.71,58.17,47.1667
"Cpetl-CLP2324_ETS_trinityContig39470_-_CDS","Nontoxin","NT",34.19,38.74,54.57,42.5
"Cpetl-CLP2324_EndophilinB1_trinityContig29139_-_CDS","Nontoxin","NT",26.8,24.48,30.26,27.18
"Cpetl-CLP2324_EpithelCellAdh_trinityContig23797_-_CDS","Nontoxin","NT",125.09,120.39,114.36,119.9467
"Cpetl-CLP2324_ErgosterolBioSyn-28_trinityContig41426_-_CDS","Nontoxin","NT",2.39,3.31,6.72,4.14
"Cpetl-CLP2324_EvoToll_trinityContig48455_-_CDS","Nontoxin","NT",9.09,13.15,9.68,10.64
"Cpetl-CLP2324_FAM3C_trinityContig10967_-_CDS","Nontoxin","NT",28.42,17.97,26.6,24.33
"Cpetl-CLP2324_GH-TMP_trinityContig42407_-_CDS","Nontoxin","NT",16.59,17.94,18.91,17.8133
