"gene_id","class","toxin_family","Csasa-LIAP244","Average"
"Csasa-LIAP244_28SribS36_trinityContig13057_-_CDS","Nontoxin","NT",9.92,9.92
"Csasa-LIAP244_39SL21_trinityContig28059_-_CDS","Nontoxin","NT",27.49,27.49
"Csasa-LIAP244_39SrpL24_trinityContig26974_-_CDS","Nontoxin","NT",39.61,39.61
"Csasa-LIAP244_ADH_trinityContig12573_-_CDS","Nontoxin","NT",41.49,41.49
"Csasa-LIAP244_ADPRibosyl1-4_trinityContig33099_-_CDS","Nontoxin","NT",58.61,58.61
"Csasa-LIAP244_ADPribosylation-5A_trinityContig19233_-_CDS","Nontoxin","NT",8.01,8.01
"Csasa-LIAP244_AKT_trinityContig18374_-_CDS","Nontoxin","NT",49.49,49.49
"Csasa-LIAP244_ATPSyn-e_trinityContig9246_-_CDS","Nontoxin","NT",196.46,196.46
"Csasa-LIAP244_ATPSyn-eps_trinityContig7496_-_CDS","Nontoxin","NT",90.14,90.14
"Csasa-LIAP244_ATPSyn-f_ngenContig69_-_CDS","Nontoxin","NT",159.4,159.4
"Csasa-LIAP244_AcylCoADeh_trinityContig456_-_CDS","Nontoxin","NT",23.21,23.21
"Csasa-LIAP244_AminopeptidaseA_ngenContig1279_-_CDS","Nontoxin","NT",86.51,86.51
"Csasa-LIAP244_Anaphase11_trinityContig19423_-_CDS","Nontoxin","NT",16.5,16.5
"Csasa-LIAP244_Autophagy5_trinityContig14777_-_CDS","Nontoxin","NT",11.04,11.04
"Csasa-LIAP244_C11orf67_trinityContig9758_-_CDS","Nontoxin","NT",5.42,5.42
"Csasa-LIAP244_C12orf73_trinityContig43361_-_CDS","Nontoxin","NT",14.23,14.23
"Csasa-LIAP244_C18orf32_trinityContig15376_-_CDS","Nontoxin","NT",10.59,10.59
"Csasa-LIAP244_C2orf64_trinityContig20930_-_CDS","Nontoxin","NT",53.09,53.09
"Csasa-LIAP244_C3orf78_trinityContig1083_-_CDS","Nontoxin","NT",13.2,13.2
"Csasa-LIAP244_C5orf43_trinityContig29411_-_CDS","Nontoxin","NT",26.54,26.54
"Csasa-LIAP244_C7orf55_trinityContig31928_-_CDS","Nontoxin","NT",64.75,64.75
"Csasa-LIAP244_C8orf59_trinityContig23116_-_CDS","Nontoxin","NT",55.67,55.67
"Csasa-LIAP244_CCDC126_trinityContig2696_-_CDS","Nontoxin","NT",22.75,22.75
"Csasa-LIAP244_CCDC134_trinityContig22449_-_CDS","Nontoxin","NT",25.88,25.88
"Csasa-LIAP244_CCHCCHD7_trinityContig13005_-_CDS","Nontoxin","NT",22,22
"Csasa-LIAP244_CD2AntCytTail2_trinityContig30391_-_CDS","Nontoxin","NT",10.02,10.02
"Csasa-LIAP244_CD59_trinityContig28409_-_CDS","Nontoxin","NT",7.23,7.23
"Csasa-LIAP244_CDC42-1_trinityContig38390_-_CDS","Nontoxin","NT",7.44,7.44
"Csasa-LIAP244_CST-TEN1_trinityContig39231_-_CDS","Nontoxin","NT",10.29,10.29
"Csasa-LIAP244_Canopy2_trinityContig26816_-_CDS","Nontoxin","NT",32.65,32.65
"Csasa-LIAP244_Ccd13_trinityContig27527_-_CDS","Nontoxin","NT",0,0
"Csasa-LIAP244_CdK2_trinityContig24402_-_CDS","Nontoxin","NT",11.48,11.48
"Csasa-LIAP244_CitrateSyn_trinityContig21102_-_CDS","Nontoxin","NT",33.81,33.81
"Csasa-LIAP244_Claudin4-1_trinityContig30052_-_CDS","Nontoxin","NT",63.13,63.13
"Csasa-LIAP244_Cornichon_trinityContig19684_-_CDS","Nontoxin","NT",34.92,34.92
"Csasa-LIAP244_CycCO6B1_trinityContig40356_-_CDS","Nontoxin","NT",125.63,125.63
"Csasa-LIAP244_Cystatin-2_trinityContig299_-_CDS","Nontoxin","NT",20.46,20.46
"Csasa-LIAP244_Cystatin_trinityContig1856_-_CDS","Nontoxin","NT",4.33,4.33
"Csasa-LIAP244_CytB-c1-9_trinityContig29481_-_CDS","Nontoxin","NT",190.41,190.41
"Csasa-LIAP244_CytCO5B_trinityContig29294_-_CDS","Nontoxin","NT",116.58,116.58
"Csasa-LIAP244_CytCO6A1_trinityContig17591_-_CDS","Nontoxin","NT",96.78,96.78
"Csasa-LIAP244_CytCO7A2_trinityContig5195_-_CDS","Nontoxin","NT",36.28,36.28
"Csasa-LIAP244_CytCO7C_ngenContig968_-_CDS","Nontoxin","NT",346.58,346.58
"Csasa-LIAP244_CytCOVIIb_trinityContig8745_-_CDS","Nontoxin","NT",218.52,218.52
"Csasa-LIAP244_Derlin2_trinityContig30878_-_CDS","Nontoxin","NT",22.05,22.05
"Csasa-LIAP244_Dimethylaminohydrolase1_trinityContig7409_-_CDS","Nontoxin","NT",15.05,15.05
"Csasa-LIAP244_EDRK1_trinityContig14143_-_CDS","Nontoxin","NT",142.81,142.81
"Csasa-LIAP244_EF-B2_trinityContig10217_-_CDS","Nontoxin","NT",63.06,63.06
"Csasa-LIAP244_EF1_trinityContig16577_-_CDS","Nontoxin","NT",51.87,51.87
"Csasa-LIAP244_ER44_trinityContig18655_-_CDS","Nontoxin","NT",57.94,57.94
"Csasa-LIAP244_ETS_trinityContig38198_-_CDS","Nontoxin","NT",55.81,55.81
"Csasa-LIAP244_ElongFattyAcid5_trinityContig27344_-_CDS","Nontoxin","NT",14.45,14.45
"Csasa-LIAP244_EpithelCellAdh_trinityContig39677_-_CDS","Nontoxin","NT",120.51,120.51
"Csasa-LIAP244_FAM3C_trinityContig17664_-_CDS","Nontoxin","NT",23.08,23.08
"Csasa-LIAP244_FAM3D_trinityContig43734_-_CDS","Nontoxin","NT",7.49,7.49
