"gene_id","class","toxin_family","Ctzot-CLP2364","Ctzot-CLP2366","Ctzot-CLP2383","Ctzot-CLP2903","Average"
"Ctzot-CLP2364_28SribS25_trinityContig13213_-_CDS","Nontoxin","NT",11.17,18.2,15.73,25.11,17.5525
"Ctzot-CLP2364_28SribS36_trinityContig38292_-_CDS","Nontoxin","NT",19.63,32.25,33.11,31.41,29.1
"Ctzot-CLP2364_39SrpL24_trinityContig46349_-_CDS","Nontoxin","NT",68.57,82.96,58.62,155.16,91.3275
"Ctzot-CLP2364_ADH_trinityContig20258_-_CDS","Nontoxin","NT",45.73,52.29,48.19,40.82,46.7575
"Ctzot-CLP2364_ADP-ribosylArgHydrolase_trinityContig4294_-_CDS","Nontoxin","NT",11.95,8.3,13.64,8.6,10.6225
"Ctzot-CLP2364_ADPRibosyl1-4_trinityContig31912_-_CDS","Nontoxin","NT",81.53,143.36,97.14,69.54,97.8925
"Ctzot-CLP2364_ATPSyn-e_trinityContig38291_-_CDS","Nontoxin","NT",430.65,371.64,576.16,236.07,403.63
"Ctzot-CLP2364_ATPSyn-eps_trinityContig1996_-_CDS","Nontoxin","NT",213.97,83.74,175.44,180.88,163.5075
"Ctzot-CLP2364_ATPSyn-f_trinityContig54016_-_CDS","Nontoxin","NT",297.51,283.82,329.44,217.34,282.0275
"Ctzot-CLP2364_Abhydrolase14A_trinityContig32292_-_CDS","Nontoxin","NT",7.03,10.51,7.4,8.51,8.3625
"Ctzot-CLP2364_AcylCoADeh_trinityContig9217_-_CDS","Nontoxin","NT",18.29,13.34,19.72,7.81,14.79
"Ctzot-CLP2364_Anaphase11_trinityContig4326_-_CDS","Nontoxin","NT",42.44,42.26,44.19,32.01,40.225
"Ctzot-CLP2364_Arginyl-tRNASyn_trinityContig57429_-_CDS","Nontoxin","NT",18.33,25.37,24.37,16.78,21.2125
"Ctzot-CLP2364_BRO1-BROX_trinityContig57990_-_CDS","Nontoxin","NT",6.56,4.46,8.39,4.53,5.985
"Ctzot-CLP2364_BladderCancer_ngenContig2340_-_CDS","Nontoxin","NT",27.59,45.24,18.8,6.97,24.65
"Ctzot-CLP2364_C12orf73_trinityContig35380_-_CDS","Nontoxin","NT",4.27,14.09,28.16,19.71,16.5575
"Ctzot-CLP2364_C16orf70_trinityContig57474_-_CDS","Nontoxin","NT",6.47,5.86,5.81,4.26,5.6
"Ctzot-CLP2364_C1orf31_trinityContig57958_-_CDS","Nontoxin","NT",28.51,15.91,28.55,12.57,21.385
"Ctzot-CLP2364_C2orf64_trinityContig11778_-_CDS","Nontoxin","NT",89.07,124.33,176.06,112.43,125.4725
"Ctzot-CLP2364_C3orf78_trinityContig17220_-_CDS","Nontoxin","NT",8.03,16.57,30.84,8.06,15.875
