"","formula","Chisquared","p.value","id","aic"
"1","x[, 5:6]",230.224632308567,5.32542320704602e-52,"Chi2 type of mutation ~ class","NA"
"2","sqrt(snpEff$total_snpKB) ~ snpEff$class",3.83550783293445e-05,0.675338853799102,"SNPs per Kilobase ~ class","NA"
"3","as.vector(clr(snpEff$nonsyn)) ~ snpEff$class",0.00986171434337126,1.66783804920376e-11,"Nonsynonymous SNPs per Kilobase ~ class","NA"
"4","sqrt(snpEff$syn_snpKB) ~ snpEff$class",0.00893390762164682,1.48928698384699e-10,"Synonymous SNPs per Kilobase ~ class","NA"
"5","NDiv$pi ~ NDiv$class",0.000237583143089803,0.297200070523675,"Nucleotide diversity ~ class","NA"
"6","NDiv$pi ~ NDiv$diff_exprs",6.39425025775292e-07,0.956873158363516,"NDiv ~ Dif_Exp","NA"
"7","NDiv$pi ~ log(NDiv$average_tpm)",2.82085308141614e-06,0.909568043271313,"NDiv ~ expression","NA"
"8","NDiv_tox$pi ~ NDiv_tox$diff_exprs",0.00193556266440199,0.721661759828311,"Toxins nucleotide diversity ~ class","NA"
"9","NDiv_tox$pi ~ log(NDiv_tox$average_tpm)",0.0330306263144171,0.137996867427898,"Toxins nucleotide diversity ~ expression","-140.558708794339"
"10","NDiv_tox$pi ~ log(NDiv_tox$average_tpm) + NDiv_tox$toxin_family",0.229703864951816,0.521000601955294,"Toxins nucleotide diversity ~ expression and toxin family","-126.021350622831"
"11","Tajima_nontox$tajimasD",-16.1930747463879,2.28354253772334e-57,"NonToxins TD t.test","sd = 0.0115800572726021"
"12","Tajima_tox$tajimasD",-0.346850612133247,0.729790613234915,"Toxins TD t.test","sd = 0.0999260050782234"
"13","Tajima_nontox$tajimasD and Tajima_tox$tajimasD",-1.51953589281936,0.133209375856784,"Toxins vs Nontoxins TD t.test","sd = 0.100594752434358"
"14","Tajima$tajimasD by Tajima$class",0.890306120430109,0.461684015005631,"Toxins vs Nontoxins TD F.test","NA"
"15","Tajima$tajimasD ~ Tajima$class",0.00056474119973482,0.107977647423284,"TD ~ class","NA"
"16","Tajima$tajimasD ~ Tajima$diff_exprs",5.73001381362529e-05,0.608701801123243,"TD ~ Dif_Exp","NA"
"17","Tajima$tajimasD ~ log(Tajima$average_tpm)",6.20347039031029e-06,0.866238014558546,"TD all ~ expression","10697.6816903815"
"18","lt0$tajimasD ~ log(lt0$average_tpm)",0.000514541744344357,0.228843386509037,"TD lower than 0 ~ expression","3676.82093284677"
"19","gt0$tajimasD ~ log(gt0$average_tpm)",2.14458656092051e-05,0.846063892671532,"TD greater than 0 ~ expression","2280.4414930445"
"20","Tajima_tox$tajimasD ~ Tajima_tox$diff_exprs",0.000184244461026151,0.912519476471538,"Toxins TD ~ Dif_Exp","NA"
"21","Tajima_tox$tajimasD ~ log(Tajima_tox$average_tpm)",0.0403040886686335,0.100679870248951,"TOXINS TD all ~ expression","168.845056989989"
"22","lt0$tajimasD ~ log(lt0$average_tpm)",0.072266803239779,0.102681547613931,"TOXINS TD lower than 0 ~ expression","48.6405100242156"
"23","gt0$tajimasD ~ log(gt0$average_tpm)",0.00194359214550943,0.817064792272876,"TOXINS TD greater than 0 ~ expression","45.3982940283574"
"24","Tajima_tox$tajimasD ~ log(Tajima_tox$average_tpm) + Tajima_tox$toxin_family",0.269231235147551,0.319358870837079,"TOXINS TD all ~ expression + toxin family","180.313738286609"
"25","lt0$tajimasD ~ log(lt0$average_tpm) + lt0$toxin_family",0.473689756379562,0.136171544981532,"TOXINS TD lower than 0 ~ expression+ toxin family","51.1000833958675"
"26","gt0$tajimasD ~ log(gt0$average_tpm) + gt0$toxin_family",0.681014435312151,0.00918985113227195,"TOXINS TD greater than 0 ~ expression+ toxin family","31.1783756600041"
"27","Global$Global ~ Global$class",5.99634775403142e-05,0.600494190103349,"Global Fst ~ class","NA"
"28","Global$Global ~ Global$diff_exprs",0.00222682503957167,0.00140765394608416,"Global Fst ~ Dif Expr","NA"
"29","Global$Global ~ log(Global$average_tpm)",0.013636349927122,2.29382570214602e-15,"Global Fst ~ expression","-1378.01825906734"
"30","Global_tox$Global ~ Global_tox$diff_exprs",0.0407628282417966,0.0987225580566705,"TOXINS Global Fst ~ Dif Expr","NA"
"31","Global_tox$Global ~ log(Global_tox$average_tpm)",0.0518034758095928,0.0619500676128741,"TOXINS Global Fst ~ expression","8.64198992935141"
"32","Global_tox$Global ~ log(Global_tox$average_tpm) + Global_tox$toxin_family",0.29199871894161,0.224954392289971,"TOXINS global Fst ~ expression + toxin family","18.7781099756385"
"33","Tajima_nontox$tajimasD",-11.0767141048011,3.74530268003196e-28,"NonToxins Synonymous TD t.test","sd = 0.0117485958743169"
"34","Tajima_tox$tajimasD",-0.0754625895264139,0.940071534899717,"Toxins Synonymous TD t.test","sd = 0.102430594943616"
