"ID","class","toxin_family","Cgodm.CLP2359","Cgodm.CLP2360","Cgodm.CLP2362","Cgodm.CLP2377","Cgodm.CLP2378","Cgodm.CLP2388","average_tpm","stdev_tpm","bcv_tpm","pi","diff_exprs","length","Variant_rate","High_impact","Low_impact","Moderate_impact","Missense","Nonsense","Total_Nonsynonymous","Synonymous","Total_variants","tajimasD","tajimasD_nonsyn","tajimasD_synon","SPvNP","LRT","p_value","CW1","CW2","CW3","UCW1","UCW2","UCW3"
"Cgodm-CLP2359_28SribS25_trinityContig28182_-_CDS","Nontoxin","NT",4.97,13.58,19.23,20.84,10.09,18.58,14.5483,6.16954266268308,0.424073098759517,0.166667,"FALSE",513,"513",0,0,0,0,0,1,0,1,-1.14053,-1.14053,0,0.211268,0,0.5,0.641388594195814,0.939177323751216,1,0.667371226493866,0.951764247730026,3.56074090928186
"Cgodm-CLP2359_39SrpL24_trinityContig29963_-_CDS","Nontoxin","NT",55.6,28.09,43.83,91.59,46.24,66.4,55.2917,21.8828347493342,0.39577069884511,0.229798166666667,"FALSE",612,"102",0,0,0,0,0,2,4,6,-1.16715,-1.45138,-0.741088,0.228164333333333,0,0.5,0,0,0,0.148841373634239,0.218791869834823,1.00156193862994
"Cgodm-CLP2359_3bHDDIsom_ngenContig768_-_CDS","Nontoxin","NT",26.28,45.14,78.74,126.02,55.57,99.85,71.9333,36.9348256617879,0.513459352786372,0.166667,"FALSE",696,"99",0,0,0,0,0,1,6,7,-1.94368,-1.14053,-1.89423,0.115486571428571,0,0.5,0.256396776132051,0.939177323751216,1,0.266692333684885,0.951764247730026,1.88824744296451
"Cgodm-CLP2359_ADH_trinityContig21456_-_CDS","Nontoxin","NT",15.53,25.84,19.42,52.84,27.36,60.8,33.6317,18.6374036997288,0.554161808642705,0.328283,"FALSE",984,"328",0,0,0,0,0,0,3,3,-0.0282963,0,-0.0282963,0.268950333333333,0,0.5,0,0,0,0,0.00926731655667175,1.00213337193556
"Cgodm-CLP2359_AKT_trinityContig12641_-_CDS","Nontoxin","NT",14.71,32.04,35.32,35.58,27.73,49.47,32.475,11.3566240582314,0.349703589168018,0.3590909,"FALSE",885,"88",0,0,0,0,0,1,9,10,0.347269,-1.14053,0.604705,0.21681662,0,0.5,0,0,0,0,0.0352544849008071,1.00158435018465
"Cgodm-CLP2359_Anaphase11_trinityContig5320_-_CDS","Nontoxin","NT",18.89,12.98,19.02,47.44,19.66,30.08,24.6783,12.448515440271,0.50443164400591,0,"FALSE",255,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.63646805081159,0.823983781821369,1,0.656193224737024,0.857361921482389,2.60870126610093
"Cgodm-CLP2359_ATPSyn-e_trinityContig21039_-_CDS","Nontoxin","NT",122.5,257.07,260.8,957.67,170.18,394.67,360.4817,307.012427462907,0.851672713102792,0.333333333333333,"FALSE",213,"71",0,0,0,0,0,0,3,3,0.0217346,0,0.0217346,0.2237533,0,0.5,0,0,0,0,0.00638631712941458,1.12409952721382
"Cgodm-CLP2359_ATPSyn-eps_trinityContig37667_-_CDS","Nontoxin","NT",62.52,89.9,156.57,247.98,117.88,90.49,127.5567,67.0207742917572,0.525419474569013,0,"FALSE",156,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.737593114757874,0.772587651606136,1,0.767471719821422,0.838017420614895,1.32512780494579
"Cgodm-CLP2359_ATPSyn-f_trinityContig12028_-_CDS","Nontoxin","NT",108.55,143.72,179.49,382.82,151.22,294.79,210.0983,105.950108903515,0.504288273172676,0.166667,"FALSE",270,"270",0,0,0,0,0,0,1,1,-1.14053,0,-1.14053,0.211268,0,0.5,0.142556552859743,0.163294611107094,1,0.184788692607327,0.16999388729007,1.18961313063385
"Cgodm-CLP2359_BladderCancer_trinityContig38878_-_CDS","Nontoxin","NT",4.57,3.86,12.27,30.74,20.27,18.58,15.0483,10.282609428869,0.683307046567988,0,"FALSE",264,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.804437655594127,0.939177323751216,1,0.832868343937099,0.951764247730026,1.76517508060503
