ID,class,toxin_family,Cgodm.CLP2359,Cgodm.CLP2360,Cgodm.CLP2362,Cgodm.CLP2377,Cgodm.CLP2378,Cgodm.CLP2388,average_tpm,stdev_tpm,bcv_tpm,pi,diff_exprs,length,Variant_rate,High_impact,Low_impact,Moderate_impact,Missense,Nonsense,Total_Nonsynonymous,Synonymous,Total_variants,tajimasD,tajimasD_nonsyn,tajimasD_synon,SPvNP,LRT,p_value,CW1,CW2,CW3,UCW1,UCW2,UCW3
Cgodm-CLP2359_28SribS25_trinityContig28182_-_CDS,Nontoxin,NT,4.97,13.58,19.23,20.84,10.09,18.58,14.5483,6.169542663,0.424073099,0.166667,FALSE,513,513,0,0,0,0,0,1,0,1,-1.14053,-1.14053,0,0.211268,0,0.5,0.641388594,0.939177324,1,0.667371226,0.951764248,3.560740909
Cgodm-CLP2359_39SrpL24_trinityContig29963_-_CDS,Nontoxin,NT,55.6,28.09,43.83,91.59,46.24,66.4,55.2917,21.88283475,0.395770699,0.229798167,FALSE,612,102,0,0,0,0,0,2,4,6,-1.16715,-1.45138,-0.741088,0.228164333,0,0.5,0,0,0,0.148841374,0.21879187,1.001561939
Cgodm-CLP2359_3bHDDIsom_ngenContig768_-_CDS,Nontoxin,NT,26.28,45.14,78.74,126.02,55.57,99.85,71.9333,36.93482566,0.513459353,0.166667,FALSE,696,99,0,0,0,0,0,1,6,7,-1.94368,-1.14053,-1.89423,0.115486571,0,0.5,0.256396776,0.939177324,1,0.266692334,0.951764248,1.888247443
Cgodm-CLP2359_ADH_trinityContig21456_-_CDS,Nontoxin,NT,15.53,25.84,19.42,52.84,27.36,60.8,33.6317,18.6374037,0.554161809,0.328283,FALSE,984,328,0,0,0,0,0,0,3,3,-0.0282963,0,-0.0282963,0.268950333,0,0.5,0,0,0,0,0.009267317,1.002133372
Cgodm-CLP2359_AKT_trinityContig12641_-_CDS,Nontoxin,NT,14.71,32.04,35.32,35.58,27.73,49.47,32.475,11.35662406,0.349703589,0.3590909,FALSE,885,88,0,0,0,0,0,1,9,10,0.347269,-1.14053,0.604705,0.21681662,0,0.5,0,0,0,0,0.035254485,1.00158435
Cgodm-CLP2359_Anaphase11_trinityContig5320_-_CDS,Nontoxin,NT,18.89,12.98,19.02,47.44,19.66,30.08,24.6783,12.44851544,0.504431644,0,FALSE,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.636468051,0.823983782,1,0.656193225,0.857361921,2.608701266
Cgodm-CLP2359_ATPSyn-e_trinityContig21039_-_CDS,Nontoxin,NT,122.5,257.07,260.8,957.67,170.18,394.67,360.4817,307.0124275,0.851672713,0.333333333,FALSE,213,71,0,0,0,0,0,0,3,3,0.0217346,0,0.0217346,0.2237533,0,0.5,0,0,0,0,0.006386317,1.124099527
Cgodm-CLP2359_ATPSyn-eps_trinityContig37667_-_CDS,Nontoxin,NT,62.52,89.9,156.57,247.98,117.88,90.49,127.5567,67.02077429,0.525419475,0,FALSE,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.737593115,0.772587652,1,0.76747172,0.838017421,1.325127805
Cgodm-CLP2359_ATPSyn-f_trinityContig12028_-_CDS,Nontoxin,NT,108.55,143.72,179.49,382.82,151.22,294.79,210.0983,105.9501089,0.504288273,0.166667,FALSE,270,270,0,0,0,0,0,0,1,1,-1.14053,0,-1.14053,0.211268,0,0.5,0.142556553,0.163294611,1,0.184788693,0.169993887,1.189613131
Cgodm-CLP2359_BladderCancer_trinityContig38878_-_CDS,Nontoxin,NT,4.57,3.86,12.27,30.74,20.27,18.58,15.0483,10.28260943,0.683307047,0,FALSE,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.804437656,0.939177324,1,0.832868344,0.951764248,1.765175081
Cgodm-CLP2359_C18orf32_trinityContig17838_-_CDS,Nontoxin,NT,9.11,38.45,37.28,29.38,28.15,59.75,33.6867,16.54154366,0.491040786,0.4727272,FALSE,288,57,0,0,0,0,0,4,1,5,1.57618,1.3107,1.48617,0.3015412,0.050067123,0.48763859,0.929859605,0.931177853,1,0.991307839,0.999368433,1.366712901
